line,filename,tool,target,type,num_configs,variability,features
130,md5.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
147,sha256.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
310,loader.c,CBMC,axtls_2_1_4,overflow,482,True,CONFIG_SSL_HAS_PEM
201,tls1_svr.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
576,axhttpd.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
213,sha512.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
389,tls1_svr.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1817,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1496,bigint.c,CBMC,axtls_2_1_4,pointer dereference,519,True,CONFIG_BIGINT_CRT
346,crypto_misc.c,CBMC,axtls_2_1_4,overflow,723,True,CONFIG_SSL_HAS_PEM or CONFIG_HTTP_HAS_AUTHORIZATION
108,md5.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
99,proc.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
721,bigint.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1316,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
196,axhttpd.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1171,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
206,sha512.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
686,axhttpd.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
762,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
193,sha256.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
477,axhttpd.c,CBMC,axtls_2_1_4,pointer dereference,527,True,CONFIG_HTTP_CGI_EXTENSIONS and CONFIG_HTTP_HAS_CGI and CONFIG_HTTP_CGI_LAUNCHER
126,crypto_misc.c,CBMC,axtls_2_1_4,overflow,172,True,CONFIG_DEBUG and -CONFIG_STRIP_UNWANTED_SECTIONS and -CONFIG_USE_DEV_URANDOM
600,bigint.c,CBMC,axtls_2_1_4,pointer dereference,844,True,-CONFIG_BIGINT_CLASSICAL or CONFIG_BIGINT_KARATSUBA or SQU_KARATSUBA_THRESH or CONFIG_BIGINT_MONTGOMERY or MUL_KARATSUBA_THRESH or CONFIG_BIGINT_BARRETT
286,p12.c,CBMC,axtls_2_1_4,overflow,501,True,CONFIG_SSL_USE_PKCS12
90,crypto_misc.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
110,sha512.c,CBMC,axtls_2_1_4,array bounds,1000,False,generic
850,bigint.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
1460,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
240,asn1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
167,gen_cert.c,CBMC,axtls_2_1_4,overflow,493,True,CONFIG_SSL_GENERATE_X509_CERT
234,sha256.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
1853,tls1.c,CBMC,axtls_2_1_4,pointer dereference,513,True,CONFIG_SSL_CTX_MUTEXING
156,tls1_svr.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
792,bigint.c,CBMC,axtls_2_1_4,pointer dereference,339,True,CONFIG_BIGINT_MONTGOMERY and -CONFIG_BIGINT_CLASSICAL and -CONFIG_BIGINT_BARRETT
207,aes.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
858,proc.c,CBMC,axtls_2_1_4,pointer dereference,527,True,CONFIG_HTTP_CGI_EXTENSIONS and CONFIG_HTTP_HAS_CGI and CONFIG_HTTP_CGI_LAUNCHER
1646,tls1.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
258,sha256.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
396,tls1.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
119,hmac.c,CBMC,axtls_2_1_4,overflow,342,True,CONFIG_DEBUG and -CONFIG_STRIP_UNWANTED_SECTIONS
487,proc.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
180,gen_cert.c,CBMC,axtls_2_1_4,pointer dereference,493,True,CONFIG_SSL_GENERATE_X509_CERT
246,md5.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
128,tls1_svr.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
785,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1119,bigint.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
297,p12.c,CBMC,axtls_2_1_4,overflow,501,True,CONFIG_SSL_USE_PKCS12
211,rsa.c,CBMC,axtls_2_1_4,pointer dereference,481,True,-CONFIG_BIGINT_CRT
182,sha512.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
330,asn1.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
251,rsa.c,CBMC,axtls_2_1_4,pointer dereference,493,True,CONFIG_SSL_GENERATE_X509_CERT
1336,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1107,proc.c,CBMC,axtls_2_1_4,pointer dereference,468,True,CONFIG_HTTP_HAS_AUTHORIZATION
325,bigint.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1129,proc.c,CBMC,axtls_2_1_4,assertion,468,True,CONFIG_HTTP_HAS_AUTHORIZATION
752,tls1.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
890,proc.c,CBMC,axtls_2_1_4,pointer dereference,527,True,CONFIG_HTTP_CGI_EXTENSIONS and CONFIG_HTTP_HAS_CGI and CONFIG_HTTP_CGI_LAUNCHER
535,proc.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
212,sha1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
818,tls1.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
692,tls1.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
1193,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
899,bigint.c,CBMC,axtls_2_1_4,pointer dereference,504,True,MUL_KARATSUBA_THRESH and CONFIG_BIGINT_KARATSUBA
186,sha1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
848,proc.c,CBMC,axtls_2_1_4,pointer dereference,527,True,CONFIG_HTTP_CGI_EXTENSIONS and CONFIG_HTTP_HAS_CGI and CONFIG_HTTP_CGI_LAUNCHER
404,loader.c,CBMC,axtls_2_1_4,pointer dereference,482,True,CONFIG_SSL_HAS_PEM
299,tls1_svr.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
238,axhttpd.c,CBMC,axtls_2_1_4,pointer dereference,168,True,CONFIG_DEBUG and CONFIG_HTTP_VERBOSE and -CONFIG_STRIP_UNWANTED_SECTIONS
125,proc.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
82,sha256.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
139,gen_cert.c,CBMC,axtls_2_1_4,pointer dereference,493,True,CONFIG_SSL_GENERATE_X509_CERT
215,md5.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
366,axhttpd.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
414,p12.c,CBMC,axtls_2_1_4,pointer dereference,501,True,CONFIG_SSL_USE_PKCS12
